country_region_code,country_region,sub_region_1,sub_region_2,metro_area,iso_3166_2_code,census_fips_code,date,retail_and_recreation_percent_change_from_baseline,grocery_and_pharmacy_percent_change_from_baseline,parks_percent_change_from_baseline,transit_stations_percent_change_from_baseline,workplaces_percent_change_from_baseline,residential_percent_change_from_baseline,ErrorCode,ErrorColumn
SV,El Salvador,,,,,,2020-08-17,,,,,-43,19,-1071607681,133
SV,El Salvador,,,,,,2020-08-18,,,,,-43,19,-1071607681,133
SV,El Salvador,,,,,,2020-08-19,,,,,-43,20,-1071607681,133
SV,El Salvador,,,,,,2020-08-20,,,,,-44,20,-1071607681,133
SV,El Salvador,,,,,,2020-08-21,,,,,-40,20,-1071607681,133
SV,El Salvador,,,,,,2020-08-22,,,,,-30,16,-1071607681,133
SV,El Salvador,,,,,,2020-08-23,,,,,-26,14,-1071607681,133
SV,El Salvador,,,,,,2020-08-24,,,,,-40,18,-1071607681,133
SV,El Salvador,,,,,,2020-08-25,,,,,-41,17,-1071607681,133
SV,El Salvador,,,,,,2020-08-26,,,,,-40,17,-1071607681,133
SV,El Salvador,,,,,,2020-08-27,,,,,-41,18,-1071607681,133
SV,El Salvador,,,,,,2020-08-28,,,,,-37,17,-1071607681,133
SV,El Salvador,,,,,,2020-08-29,,,,,-26,12,-1071607681,133
SV,El Salvador,,,,,,2020-08-30,,,,,-21,10,-1071607681,133
SV,El Salvador,,,,,,2020-08-31,,,,,-39,15,-1071607681,133
SV,El Salvador,,,,,,2020-09-01,,,,,-40,15,-1071607681,133
SV,El Salvador,,,,,,2020-09-02,,,,,-40,16,-1071607681,133
SV,El Salvador,,,,,,2020-09-03,,,,,-41,17,-1071607681,133
SV,El Salvador,,,,,,2020-09-04,,,,,-36,16,-1071607681,133
SV,El Salvador,,,,,,2020-09-05,,,,,-26,12,-1071607681,133
SV,El Salvador,,,,,,2020-09-06,,,,,-24,10,-1071607681,133
SV,El Salvador,,,,,,2020-09-07,,,,,-39,16,-1071607681,133
SV,El Salvador,,,,,,2020-09-08,,,,,-40,16,-1071607681,133
SV,El Salvador,,,,,,2020-09-09,,,,,-39,15,-1071607681,133
SV,El Salvador,,,,,,2020-09-10,,,,,-40,16,-1071607681,133
SV,El Salvador,,,,,,2020-09-11,,,,,-36,15,-1071607681,133
SV,El Salvador,,,,,,2020-09-12,,,,,-25,11,-1071607681,133
SV,El Salvador,,,,,,2020-09-13,,,,,-23,8,-1071607681,133
SV,El Salvador,,,,,,2020-09-14,,,,,-36,14,-1071607681,133
SV,El Salvador,,,,,,2020-09-15,,,,,-66,23,-1071607681,133
SV,El Salvador,,,,,,2020-09-16,,,,,-36,14,-1071607681,133
SV,El Salvador,,,,,,2020-09-17,,,,,-38,16,-1071607681,133
SV,El Salvador,,,,,,2020-09-18,,,,,-33,14,-1071607681,133
