ID_Porcentajes,Copia de residential_percent_change_from_baseline,Copia de workplaces_percent_change_from_baseline,Copia de transit_stations_percent_change_from_baseline,Copia de parks_percent_change_from_baseline,Copia de grocery_and_pharmacy_percent_change_from_baseline,Copia de retail_and_recreation_percent_change_from_baseline,ErrorCode,ErrorColumn
SVSV-AH2020-02-1565.376068,0,6,0,25,10,9,-1071607685,0
SVSV-AH2020-02-1616.535728,0,2,0,9,0,6,-1071607685,0
SVSV-AH2020-02-17-0,-1,7,0,-1,0,0,-1071607685,0
SVSV-AH2020-02-18-4.1780171,-1,5,0,11,0,-2,-1071607685,0
SVSV-AH2020-02-19-2.7526765,0,6,0,10,0,-2,-1071607685,0
SVSV-AH2020-02-20-18.373032,0,2,0,20,0,-3,-1071607685,0
SVSV-AH2020-02-21-1.2387044,-1,7,0,-1,0,9,-1071607685,0
SVSV-AH2020-02-22103.28135,0,1,0,18,8,5,-1071607685,0
SVSV-AH2020-02-2312.861122,0,2,0,21,0,2,-1071607685,0
SVSV-AH2020-02-247.9447188,1,0,0,-6,0,-3,-1071607685,0
SVSV-AH2020-02-250.77929753,-1,10,0,8,0,1,-1071607685,0
SVSV-AH2020-02-26-9.8753128,-1,5,0,13,0,-4,-1071607685,0
SVSV-AH2020-02-27-9.5760126,1,4,0,12,0,-5,-1071607685,0
SVSV-AH2020-02-280.6522277,-3,14,0,-2,0,-4,-1071607685,0
SVSV-AH2020-02-2919.96212,0,7,0,11,10,5,-1071607685,0
SVSV-AH2020-03-0117.471706,0,4,0,23,0,4,-1071607685,0
SVSV-AH2020-03-02-0.43170178,-1,9,0,4,0,-1,-1071607685,0
SVSV-AH2020-03-030,0,11,0,2,0,0,-1071607685,0
SVSV-AH2020-03-04-1.2098254,0,7,0,10,0,-1,-1071607685,0
SVSV-AH2020-03-05-1.4517905,0,7,0,4,0,-3,-1071607685,0
SVSV-AH2020-03-061.5076526,-1,13,0,-2,-7,-3,-1071607685,0
SVSV-AH2020-03-07-2.6981361,0,8,0,5,-3,-2,-1071607685,0
SVSV-AH2020-03-080,0,1,0,0,0,2,-1071607685,0
SVSV-AH2020-03-090.72589523,-1,8,0,-2,0,-3,-1071607685,0
SVSV-AH2020-03-100.48393017,-1,8,0,4,0,1,-1071607685,0
SVSV-AH2020-03-110.47880062,-1,6,0,3,0,1,-1071607685,0
SVSV-AH2020-03-122.1943107,0,-4,0,3,0,-2,-1071607685,0
SVSV-AH2020-03-1378.220306,0,0,0,-11,0,-9,-1071607685,0
SVSV-AH2020-03-14416.38486,0,0,-16,-15,-6,-11,-1071607685,0
SVSV-AH2020-03-15-127.12875,0,-7,0,-27,0,-27,-1071607685,0
SVSV-AH2020-03-16-24.946751,0,-8,0,-14,0,-12,-1071607685,0
SVSV-AH2020-03-17-17.725744,0,-13,0,-16,0,-13,-1071607685,0
SVSV-AH2020-03-18-43.249245,0,-15,0,-22,0,-27,-1071607685,0
SVSV-AH2020-03-19-43.366173,0,-27,0,-31,0,-36,-1071607685,0
SVSV-AH2020-03-20-53.613415,0,-34,0,-45,0,-39,-1071607685,0
SVSV-AH2020-03-21-280.59778,0,-27,-22,-61,-33,-54,-1071607685,0
SVSV-AH2020-03-22-238.30949,0,-44,-55,-79,0,-76,-1071607685,0
SVSV-AH2020-03-23-274.61023,0,-55,-55,-64,-60,-64,-1071607685,0
SVSV-AH2020-03-24-128.03471,0,-59,-50,-62,0,-66,-1071607685,0
SVSV-AH2020-03-25-135.8084,0,-58,-53,-62,0,-67,-1071607685,0
SVSV-AH2020-03-26-117.85013,0,-59,-48,-60,0,-63,-1071607685,0
SVSV-AH2020-03-27-149.33342,0,-54,0,-63,-59,-66,-1071607685,0
SVSV-AH2020-03-28-389.35077,0,-45,-58,-71,-61,-71,-1071607685,0
SVSV-AH2020-03-29-279.56299,0,-37,-58,-77,0,-74,-1071607685,0
SVSV-AH2020-03-30-60.668961,0,-52,0,-57,0,-54,-1071607685,0
SVSV-AH2020-03-31-105.50053,0,-51,-40,-59,0,-53,-1071607685,0
SVSV-AH2020-04-01-62.801609,0,-53,0,-57,0,-57,-1071607685,0
SVSV-AH2020-04-02-60.389683,0,-55,0,-59,0,-55,-1071607685,0
SVSV-AH2020-04-03-131.42682,0,-50,0,-61,-48,-57,-1071607685,0
SVSV-AH2020-04-04-362.53445,0,-39,-45,-69,-56,-64,-1071607685,0
SVSV-AH2020-04-05-253.15446,0,-35,-47,-75,0,-70,-1071607685,0
SVSV-AH2020-04-06-52.1082,0,-55,0,-56,0,-50,-1071607685,0
SVSV-AH2020-04-07-60.339813,0,-57,0,-59,0,-57,-1071607685,0
SVSV-AH2020-04-08-111.04385,0,-58,-48,-57,0,-60,-1071607685,0
SVSV-AH2020-04-09-125.29492,0,-63,-56,-63,0,-65,-1071607685,0
SVSV-AH2020-04-10-278.5672,0,-68,-64,-66,-71,-72,-1071607685,0
SVSV-AH2020-04-11-398.01385,0,-54,-73,-78,-64,-75,-1071607685,0
SVSV-AH2020-04-12-257.87222,0,-44,-65,-80,0,-76,-1071607685,0
SVSV-AH2020-04-13-125.04032,0,-56,-54,-62,0,-59,-1071607685,0
SVSV-AH2020-04-14-209.04875,0,-53,-46,-59,-46,-57,-1071607685,0
SVSV-AH2020-04-15-67.449379,0,-52,0,-59,0,-58,-1071607685,0
SVSV-AH2020-04-16-120.60452,0,-54,-46,-60,0,-60,-1071607685,0
SVSV-AH2020-04-17-149.70961,0,-50,0,-64,-53,-61,-1071607685,0
SVSV-AH2020-04-18-386.33252,0,-45,-59,-73,-59,-69,-1071607685,0
SVSV-AH2020-04-19-510.90283,0,-45,-68,-79,-72,-80,-1071607685,0
SVSV-AH2020-04-20-277.6369,0,-54,-62,-59,-60,-61,-1071607685,0
SVSV-AH2020-04-21-131.53598,0,-55,-59,-55,0,-62,-1071607685,0
SVSV-AH2020-04-22-130.14023,0,-55,-55,-56,0,-63,-1071607685,0
SVSV-AH2020-04-23-133.00607,0,-56,-53,-59,0,-65,-1071607685,0
SVSV-AH2020-04-24-256.724,0,-51,-48,-64,-54,-60,-1071607685,0
SVSV-AH2020-04-25-428.29446,0,-41,-61,-73,-58,-69,-1071607685,0
SVSV-AH2020-04-26-653.19806,0,-39,-79,-79,-77,-79,-1071607685,0
SVSV-AH2020-04-27-103.51962,0,-52,-46,-55,0,-52,-1071607685,0
SVSV-AH2020-04-28-110.56485,0,-53,-48,-56,0,-55,-1071607685,0
SVSV-AH2020-04-29-64.328354,0,-50,0,-55,0,-57,-1071607685,0
SVSV-AH2020-04-30-124.98405,0,-51,-55,-56,0,-56,-1071607685,0
SVSV-AH2020-05-01-264.49588,0,-58,-61,-61,-59,-64,-1071607685,0
SVSV-AH2020-05-02-374.85745,0,-39,-55,-68,-52,-63,-1071607685,0
SVSV-AH2020-05-03-572.25061,0,-37,-68,-75,-68,-75,-1071607685,0
SVSV-AH2020-05-04-115.54671,0,-48,-52,-56,0,-50,-1071607685,0
SVSV-AH2020-05-05-110.19733,0,-48,-52,-51,0,-50,-1071607685,0
SVSV-AH2020-05-06-115.97411,0,-47,-53,-51,0,-51,-1071607685,0
SVSV-AH2020-05-07-172.16789,0,-59,-73,-67,0,-71,-1071607685,0
SVSV-AH2020-05-08-340.1886,0,-56,-66,-67,-70,-70,-1071607685,0
SVSV-AH2020-05-09-463.33527,0,-46,-75,-72,-67,-74,-1071607685,0
SVSV-AH2020-05-10-309.03223,0,-35,-65,-74,0,-75,-1071607685,0
SVSV-AH2020-05-11-272.45145,0,-55,-58,-62,-59,-63,-1071607685,0
SVSV-AH2020-05-12-159.67441,0,-55,-70,-60,0,-66,-1071607685,0
SVSV-AH2020-05-13-143.69406,0,-56,-64,-57,0,-65,-1071607685,0
SVSV-AH2020-05-14-130.21873,0,-54,-53,-56,0,-63,-1071607685,0
SVSV-AH2020-05-15-302.47562,0,-48,-50,-64,-57,-67,-1071607685,0
SVSV-AH2020-05-16-460.76599,0,-42,-65,-72,-64,-73,-1071607685,0
SVSV-AH2020-05-17-568.35095,0,-38,-66,-77,-66,-80,-1071607685,0
SVSV-AH2020-05-18-286.75369,0,-49,-59,-57,-59,-59,-1071607685,0
SVSV-AH2020-05-19-135.86458,0,-52,-55,-58,0,-61,-1071607685,0
SVSV-AH2020-05-20-133.69031,0,-51,-52,-57,0,-61,-1071607685,0
SVSV-AH2020-05-21-134.18201,0,-54,-61,-55,0,-61,-1071607685,0
SVSV-AH2020-05-22-290.76617,0,-47,-57,-65,-51,-58,-1071607685,0
SVSV-AH2020-05-23-430.44186,0,-38,-61,-73,-52,-66,-1071607685,0
SVSV-AH2020-05-24-350.27432,0,-34,-71,-76,0,-78,-1071607685,0
SVSV-AH2020-05-25-146.48807,0,-50,-62,-59,0,-59,-1071607685,0
SVSV-AH2020-05-26-140.26088,0,-48,-57,-58,0,-57,-1071607685,0
SVSV-AH2020-05-27-128.21407,0,-48,-51,-56,0,-56,-1071607685,0
SVSV-AH2020-05-28-143.5775,0,-48,-53,-57,0,-61,-1071607685,0
SVSV-AH2020-05-29-312.11429,0,-44,-53,-61,-57,-60,-1071607685,0
SVSV-AH2020-05-30-470.75143,0,-41,-70,-75,-57,-72,-1071607685,0
SVSV-AH2020-05-31-636.26385,0,-39,-79,-80,-70,-81,-1071607685,0
SVSV-AH2020-06-01-328.60184,0,-53,-69,-67,-62,-63,-1071607685,0
SVSV-AH2020-06-02-158.28096,0,-51,-63,-60,0,-64,-1071607685,0
SVSV-AH2020-06-03-71.78875,0,-48,0,-61,0,-55,-1071607685,0
SVSV-AH2020-06-04-137.9736,0,-52,-62,-63,0,-56,-1071607685,0
SVSV-AH2020-06-05-322.64594,0,-47,-61,-63,-59,-60,-1071607685,0
SVSV-AH2020-06-06-470.14401,0,-35,-62,-68,-56,-66,-1071607685,0
SVSV-AH2020-06-07-372.65375,0,-27,-64,-73,0,-70,-1071607685,0
SVSV-AH2020-06-08-117.32951,0,-44,-53,-56,0,-46,-1071607685,0
SVSV-AH2020-06-09-126.36207,0,-44,-55,-53,0,-50,-1071607685,0
SVSV-AH2020-06-10-247.99719,0,-43,-62,-53,-42,-48,-1071607685,0
SVSV-AH2020-06-11-116.10766,0,-46,-52,-54,0,-49,-1071607685,0
SVSV-AH2020-06-12-295.74503,0,-38,-54,-58,-45,-52,-1071607685,0
SVSV-AH2020-06-13-548.37225,0,-27,-61,-65,-55,-57,-1071607685,0
SVSV-AH2020-06-14-419.24429,0,-23,-61,-73,0,-68,-1071607685,0
SVSV-AH2020-06-15-86.925438,0,-40,-48,-43,0,-37,-1071607685,0
SVSV-AH2020-06-16-103.72514,0,-39,-56,-47,0,-38,-1071607685,0
SVSV-AH2020-06-17-42.087097,0,-49,0,-49,0,-41,-1071607685,0
SVSV-AH2020-06-18-124.61229,0,-42,-56,-52,0,-47,-1071607685,0
SVSV-AH2020-06-19-213.57605,0,-37,-55,-51,-32,-40,-1071607685,0
SVSV-AH2020-06-20-345.39841,0,-28,-54,-60,-34,-47,-1071607685,0
SVSV-AH2020-06-21-347.42902,0,-25,-63,-70,0,-62,-1071607685,0
SVSV-AH2020-06-22-139.79842,0,-40,-44,-51,-24,-33,-1071607685,0
SVSV-AH2020-06-23-116.48577,0,-40,-48,-48,-18,-29,-1071607685,0
SVSV-AH2020-06-24-78.549133,0,-39,0,-52,-20,-37,-1071607685,0
SVSV-AH2020-06-25-96.477692,0,-40,-57,-44,0,-37,-1071607685,0
SVSV-AH2020-06-26-64.029701,0,-35,0,-54,0,-40,-1071607685,0
SVSV-AH2020-06-27-427.15109,0,-24,-56,-61,-32,-51,-1071607685,0
SVSV-AH2020-06-28-303.09689,0,-27,-59,-71,0,-60,-1071607685,0
SVSV-AH2020-06-29-79.73465,0,-38,-51,-50,0,-29,-1071607685,0
SVSV-AH2020-06-30-135.89462,0,-38,-48,-48,-21,-31,-1071607685,0
SVSV-AH2020-07-01-69.825661,0,-38,0,-45,-22,-35,-1071607685,0
SVSV-AH2020-07-02-96.802765,0,-43,-50,-51,0,-40,-1071607685,0
SVSV-AH2020-07-03-130.59679,0,-34,0,-57,-32,-43,-1071607685,0
